composition,Phase
Al1 Nb1 Ta1 Ti1,BCC
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC
Hf1 Mo1 Nb1 Ti1 Zr1,BCC
Hf1 Mo1 Ta1 Ti1 Zr1,BCC
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC
Mo1 Nb1 Ta1 Ti1 W1,BCC
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC
Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,BCC
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,BCC
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,BCC
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,BCC
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,BCC
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,BCC
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,BCC
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,BCC
Hf1 Nb1 Ta1 Ti1 Zr1,BCC
Al0.25 Mo1 Nb1 Ti1 V1,BCC
Al0.5 Mo1 Nb1 Ti1 V1,BCC
Al0.75 Mo1 Nb1 Ti1 V1,BCC
Al1 Mo1 Nb1 Ti1 V1,BCC
Mo1 Nb1 Ti1 V1,BCC
Al0.25 Nb1 Ta1 Ti1 V1,BCC
Al0.5 Nb1 Ta1 Ti1 V1,BCC
Al1 Nb1 Ta1 Ti1 V1,BCC
Nb1 Ta1 Ti1 V1,BCC
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,BCC
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,BCC
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,BCC
Hf1 Nb1 Ti1 Zr1,BCC
Mo1 Nb1 Ta1 V1 W1,BCC
Mo1 Nb1 Ta1 W1,BCC
Mo1 Nb1 Ti1 V0.25 Zr1,BCC
Mo1 Nb1 Ti1 V0.5 Zr1,BCC
Mo1 Nb1 Ti1 V0.75 Zr1,BCC
Mo1 Nb1 Ti1 V1 Zr1,BCC
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,BCC
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,BCC
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC
Mo1 Nb1 Ti1 Zr1,BCC
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC
Al1 Cr1 Mo1 Nb1 Ti1,BCC
Co1 Cr1 Mo1 Nb1 Ti0.4,BCC
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC
Al0.2 Mo1 Ta1 Ti1 V1,BCC
Al0.6 Mo1 Ta1 Ti1 V1,BCC
Al1 Mo1 Ta1 Ti1 V1,BCC
Mo1 Ta1 Ti1 V1,BCC
Hf1 Nb1 Ta1 Zr1,BCC
Hf1 Ta1 Ti1 Zr1,BCC
Mo1 Nb1 Ta1 Ti0.25 W1,BCC
Mo1 Nb1 Ta1 Ti0.5 W1,BCC
Mo1 Nb1 Ta1 Ti0.75 W1,BCC
Mo1 Nb1 Ta1 Ti1 V1,BCC
Nb1 Ta1 Ti1 V1 W1,BCC
Nb1 Ta1 V1 W1,BCC
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC
Mo1 Nb1 Re0.5 W1,BCC
Nb1 Ti1 Zr1,BCC
Hf0.25 Ti1 V0.5 Zr0.5,BCC
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC
Cr1 Fe1 Ni1 Ti0.4,BCC
Cr1 Fe1 Ni1 Ti0.5,BCC
Cr1 Fe1 Ni1 Ti0.6,BCC
Nb1 Ta1 Ti1 Zr1,BCC
Nb1 Ta1 Ti1,BCC
Hf1 Mo1 Nb1 Ta1 Zr1,BCC
Hf1 Mo1 Nb1 Ta1 Ti1,BCC
Mn0.1 Ti0.9,BCC
Mn0.5 V0.5,BCC
Mn0.565 V0.435,BCC
Mn0.9 V0.1,BCC
Mn0.253 Cr0.747,BCC
Mn0.43 Cr0.57,BCC
Mn0.5 Cr0.5,BCC
Mn0.6 Cr0.4,BCC
Mn0.67 Cr0.33,BCC
Mn0.99 Cr0.01,BCC
Mn0.05 Fe0.95,BCC
Mn0.18 Fe0.82,BCC
Mn0.65 Fe0.35,BCC
Mn0.15 Mo0.85,BCC
Fe0.25 Ti0.75,BCC
Fe0.35 Ti0.65,BCC
Fe0.8 Ti0.2,BCC
Fe0.9 Ti0.1,BCC
Fe0.91 Ti0.09,BCC
Fe0.965 Ti0.035,BCC
Fe0.975 Ti0.025,BCC
Fe0.98 Ti0.02,BCC
Fe0.4 V0.6,BCC
Fe0.5 V0.5,BCC
Fe0.55 V0.45,BCC
Fe0.65 V0.35,BCC
Fe0.7 V0.3,BCC
Fe0.75 V0.25,BCC
Fe0.8 V0.2,BCC
Fe0.96 V0.04,BCC
Fe0.99 V0.01,BCC
Fe0.0195 Cr0.9805,BCC
Fe0.026 Cr0.974,BCC
Fe0.038 Cr0.962,BCC
Fe0.0665 Cr0.9335,BCC
Fe0.2 Cr0.8,BCC
Fe0.387 Cr0.613,BCC
Fe0.5 Cr0.5,BCC
Fe0.8 Cr0.2,BCC
Fe0.92 Cr0.08,BCC
Fe0.95 Cr0.05,BCC
Fe0.96 Cr0.04,BCC
Fe0.97 Cr0.03,BCC
Fe0.8 Mn0.2,BCC
Fe0.87 Mn0.13,BCC
Fe0.95 Mn0.05,BCC
Fe0.96 Mn0.04,BCC
Fe0.97 Mn0.03,BCC
Fe0.25 Co0.75,BCC
Fe0.28 Co0.72,BCC
Fe0.5 Co0.5,BCC
Fe0.6 Co0.4,BCC
Fe0.88 Co0.12,BCC
Fe0.91 Co0.09,BCC
Fe0.94 Co0.06,BCC
Fe0.95 Co0.05,BCC
Fe0.6 Ni0.4,BCC
Fe0.9 Ni0.1,BCC
Fe0.49 Cu0.51,BCC
Fe0.6 Cu0.4,BCC
Fe0.7 Cu0.3,BCC
Fe0.8 Cu0.2,BCC
Fe0.2 Mo0.8,BCC
Fe0.8 Mo0.2,BCC
Fe0.86 Mo0.14,BCC
Fe0.875 Mo0.125,BCC
Fe0.92 Mo0.08,BCC
Fe0.96 Mo0.04,BCC
Fe0.97 Mo0.03,BCC
Fe0.78 Ag0.22,BCC
Fe0.975 Ta0.025,BCC
Fe0.3 W0.7,BCC
Fe0.6 W0.4,BCC
Fe0.8 W0.2,BCC
Fe0.93 W0.07,BCC
Fe0.94 W0.06,BCC
Fe0.96 W0.04,BCC
Fe0.98 W0.02,BCC
Fe0.92 Re0.08,BCC
Fe0.75 Pt0.25,BCC
Fe0.85 Pt0.15,BCC
Fe0.9 Pt0.1,BCC
Fe0.97 Pt0.03,BCC
Fe0.96 Au0.04,BCC
Co0.86 Nb0.14,BCC
Co0.08 Mo0.92,BCC
Ni0.19 V0.81,BCC
Ni0.47 V0.53,BCC
Ni0.2 Cr0.8,BCC
Ni0.02 Mo0.98,BCC
Au0.11 Mo0.89,BCC
Nb0.75 Au0.25,BCC
Nb0.7 Au0.3,BCC
V0.7 Au0.3,BCC
V0.75 Au0.25,BCC
Mo0.7 Cr0.3,BCC
Cr0.75 Mo0.25,BCC
Cr0.7 Mo0.3,BCC
Cr0.5 Mo0.5,BCC
Cr0.5 W0.5,BCC
Cr0.7 Re0.3,BCC
V0.99 Hf0.01,BCC
V0.95 Hf0.05,BCC
Mo0.8 Hf0.2,BCC
Mo0.67 Hf0.33,BCC
W0.67 Hf0.33,BCC
Nb0.78 Hf0.22,BCC
Hf0.5 Nb0.5,BCC
Hf0.7 Nb0.3,BCC
Hf0.5 Ta0.5,BCC
Hf0.6 Mo0.4,BCC
Hf0.52 Mo0.48,BCC
Hf0.8 Mo0.2,BCC
Mo0.57 Re0.43,BCC
Mo0.6 Re0.4,BCC
Mo0.92 Re0.08,BCC
Mo0.62 Re0.38,BCC
Mo0.85 Pt0.15,BCC
Mo0.95 Pd0.05,BCC
Cr0.96 Nb0.04,BCC
Mo0.5 Nb0.5,BCC
Nb0.52 Mo0.48,BCC
Mo0.516 Nb0.484,BCC
Nb0.95 Mo0.05,BCC
Nb0.5 V0.5,BCC
Nb0.5 W0.5,BCC
Nb0.75 Re0.25,BCC
Nb0.56 Re0.44,BCC
Nb0.6 Re0.4,BCC
Nb0.553 Re0.447,BCC
Nb0.98 Cr0.02,BCC
Nb0.88 Cr0.12,BCC
Nb0.75 Pd0.25,BCC
Nb0.67 Pd0.33,BCC
Nb0.9 Pt0.1,BCC
Cr0.95 Ta0.05,BCC
Re0.61 Ta0.39,BCC
Mo0.5 Ta0.5,BCC
Mo0.96 Ta0.04,BCC
Nb0.5 Ta0.5,BCC
Ta0.5 V0.5,BCC
V0.67 Ta0.33,BCC
Ta0.5 W0.5,BCC
Ta0.6 Re0.4,BCC
Ta0.55 Re0.45,BCC
Ta0.75 Re0.25,BCC
Ta0.85 Cr0.15,BCC
Ta0.88 Pd0.12,BCC
Cr0.86 Ti0.14,BCC
Cr0.5 Ti0.5,BCC
Ti0.8 Cr0.2,BCC
Mo0.67 Ti0.33,BCC
Mo0.5 Ti0.5,BCC
Nb0.5 Ti0.5,BCC
Nb0.954 Ti0.046,BCC
Ta0.5 Ti0.5,BCC
Ti0.5 V0.5,BCC
V0.99 Ti0.01,BCC
V0.95 Ti0.05,BCC
Ti0.5 W0.5,BCC
Ti0.8 Pd0.2,BCC
Cr0.5 V0.5,BCC
Mo0.5 V0.5,BCC
V0.5 W0.5,BCC
V0.7 W0.3,BCC
V0.8 Re0.2,BCC
V0.95 Pt0.05,BCC
Mo0.5 W0.5,BCC
W0.75 Re0.25,BCC
W0.65 Re0.35,BCC
W0.8 Re0.2,BCC
W0.71 Re0.29,BCC
W0.95 Pd0.05,BCC
Nb0.999 Y0.001,BCC
W0.97 Zr0.03,BCC
V0.99 Zr0.01,BCC
V0.95 Zr0.05,BCC
