composition,Phase,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Al1 Nb1 Ta1 Ti1,BCC,5.25,0.0625,21.25,119.25,-16.0,11.52565131835077,2.2325,44.325,-0.05623764510953506,0.12392028195063573,2228.6175000000003,5.970000000000001,6.86575,0.004037500000000007
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,5.625,0.5762500000000004,13.125,148.375,-0.875,12.966357733144617,1.81375,50.125,-0.10310333796803679,0.3039222392895567,2434.125,6.126250000000001,6.8336250000000005,0.12489687500000003
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,6.0,0.5883333333333332,10.5,162.33333333333334,-0.8888888888888888,14.896688227162047,1.7599999999999998,55.666666666666664,-0.12599963482091434,0.31933737315787586,2585.1666666666665,6.648333333333333,7.005833333333333,0.16176111111111113
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,5.4,0.5740000000000001,11.199999999999989,157.6,-1.6,13.380866803977112,1.798,53.00000000000001,-0.15040193010238787,0.4075471698113206,2444.2000000000003,6.3580000000000005,6.829000000000001,0.19164800000000004
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,6.2,0.5940000000000001,11.199999999999989,173.8,-1.9200000000000004,13.380866803977112,1.848,59.199999999999996,-0.13047082438049065,0.31745343316289265,2552.2000000000003,6.464,7.055200000000001,0.19372800000000007
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,6.5,0.5616666666666668,7.833333333333343,212.5,-4.222222222222222,14.896688227162047,1.6066666666666665,81.5,-0.12851875101690355,0.29752719334562827,2792.5,6.925,7.197666666666667,0.2232277777777778
Mo1 Nb1 Ta1 Ti1 W1,BCC,6.8,0.5279999999999998,4.400000000000006,229.39999999999998,-5.28,13.380866803977112,1.7480000000000002,86.4,-0.13350061389374637,0.2983860596707819,2914.4,7.248,7.288000000000001,0.254272
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,6.818702290076336,0.1527480916030537,5.637131952017441,182.56079607415487,-14.278738037957448,13.254235926653271,1.577077426390403,70.4514721919302,-0.08541484949700481,0.18655344276182215,1615.9484732824428,4.045547982551799,7.121791166848419,0.031092093367852333
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,6.230769230769232,0.17076923076923034,5.230769230769198,165.23076923076928,-16.094674556213025,12.63214747383609,1.797692307692308,63.65384615384617,-0.10102684541334118,0.2560087622420386,1510.8730769230774,3.9400000000000004,6.9469230769230785,0.03238343195266271
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,6.5,0.15999999999999992,5.166666666666671,173.16666666666669,-15.444444444444443,12.975746340770252,1.6966666666666665,66.76666666666667,-0.09441257022810032,0.22382751384655417,1558.9899999999998,3.9883333333333333,7.027,0.032066666666666646
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,5.9987135506003435,0.18005145797598598,5.573327615780428,158.3906518010292,-16.409279941392633,12.261545287710604,1.884768439108062,60.97084048027445,-0.10608516175245443,0.28401659576996524,1469.4000857632936,3.898340480274443,6.877903087478559,0.03228421425818427
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,7.176470588235295,0.37450980392156863,14.509803921568619,196.45098039215688,-12.133794694348332,13.920872366202895,1.4331372549019612,75.74509803921569,-0.07297613700757342,0.14426899592160142,1707.8568627450982,4.167058823529413,7.232529411764707,0.034112264513648585
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,7.076923076923076,0.1726923076923077,12.692307692307693,190.46153846153845,-16.390532544378694,14.22159653636338,1.5526923076923074,73.78846153846153,-0.07470792049147872,0.14731435797651893,1684.2057692307692,4.133846153846153,7.270423076923077,0.02905473372781063
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,6.962962962962963,0.17703703703703688,12.222222222222214,187.37037037037035,-19.835390946502052,14.58502024404227,1.6625925925925924,72.79629629629629,-0.07614768165536467,0.15058121975742716,1684.3092592592593,4.152222222222222,7.303037037037036,0.028960219478737975
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,6.142857142857143,0.3457142857142854,26.571428571428584,146.85714285714283,-31.428571428571423,16.17829697924587,1.667142857142857,56.185714285714276,-0.06807633099778113,0.13543624073430838,1784.6385714285714,4.737142857142857,7.088142857142857,0.07564897959183668
Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,5.666666666666667,0.31166666666666654,25.166666666666657,136.49999999999997,-31.33333333333333,14.896688227162047,1.773333333333333,53.05,-0.07330991119688092,0.1527835641927855,1787.4116666666664,4.795,6.9559999999999995,0.07202777777777773
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,7.0,0.1848000000000003,6.400000000000006,189.52,-13.030399999999997,14.865039192478184,1.4355999999999998,66.54,-0.09959316511739048,0.2084136595329141,1627.654,3.8928000000000003,7.217040000000001,0.038417919999999973
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,BCC,7.0,0.1955899999999997,7.557000000000016,206.35633333333334,-7.252739555555556,12.660566417633335,1.2508666666666668,72.03863333333334,-0.09576303031980746,0.18930275575498764,1721.5008366666668,3.8532466666666667,7.303841666666667,0.03315623713333333
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,BCC,7.685954854890719,0.17221246864922923,8.984772482980986,181.71748477248295,-5.733991289245347,15.973074737000307,1.1561178788964526,71.31583661769973,-0.05649244610226559,0.11291101917792679,1780.7148692225005,4.291332855607308,7.313900035829451,0.029740084561871
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,BCC,7.608483864420539,0.16781408565049727,9.188958798457477,180.1696772884108,-6.142640373689682,15.908455509830365,1.1485305459711792,70.90466815506393,-0.05564622986551415,0.11203563624297894,1792.4527237669981,4.320949868073878,7.2975494215547,0.03018005183781443
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,BCC,7.535722334910975,0.16368041469461292,9.38133874239351,178.71647509578543,-6.494549770459841,15.820769016977067,1.141338742393509,70.51906693711967,-0.054788772128992,0.1111122549039319,1803.5212733829164,4.348843813387424,7.282202389001578,0.030522694986719376
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,BCC,7.466239526860523,0.15975357318876293,9.560374568753105,177.32479053721048,-6.805962144275186,15.717725821861306,1.1349778215869888,70.14642681123706,-0.053982926232382246,0.11025438381356653,1813.749822572696,4.374884179398719,7.267472646623953,0.03078726149491807
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,BCC,7.4,0.1559999999999997,9.733333333333334,175.99999999999997,-7.075555555555555,15.599338580953313,1.1286666666666667,69.79333333333332,-0.053144567800053694,0.10930883451682985,1823.6673333333333,4.4,7.253466666666666,0.030981333333333336
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,5.830188679245283,0.16283018867924537,31.69811320754718,125.66037735849059,-3.987184051263794,14.431908651129232,1.9005660377358493,41.866037735849055,-0.050144870058869064,0.1127977168175675,2433.026603773585,6.429811320754718,6.930528301886794,0.028983980064079748
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,5.7272727272727275,0.168181818181818,30.545454545454533,123.63636363636365,-7.669421487603305,14.697168880613484,1.940909090909091,41.3,-0.051617282486817254,0.11667365752809182,2378.497272727273,6.318181818181818,6.896181818181819,0.02944793388429752
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,5.608695652173913,0.17434782608695643,29.217391304347814,121.30434782608697,-11.553875236294896,14.854820038583846,1.987391304347826,40.64782608695652,-0.05284370578993298,0.12087414825357538,2315.6699999999996,6.189565217391304,6.856608695652175,0.029840453686200388
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,6.0,0.15400000000000014,8.400000000000006,129.0,2.72,13.380866803977112,1.834,42.800000000000004,-0.04677869780703854,0.10599178967595421,2523.0,6.614,6.987200000000001,0.027968000000000014
Al0.25 Mo1 Nb1 Ti1 V1,BCC,4.882352941176471,0.4347058823529415,22.117647058823536,163.64705882352942,-6.256055363321799,12.707663913447359,1.7394117647058822,62.48823529411764,-0.11709786348139307,0.2775849655424948,2353.7335294117647,5.974117647058823,6.806705882352942,0.11830865051903121
Al0.5 Mo1 Nb1 Ti1 V1,BCC,4.777777777777778,0.44111111111111123,20.888888888888886,158.44444444444446,-8.987654320987653,13.14521343892854,1.8099999999999998,60.477777777777774,-0.12462514999916136,0.2986700071278008,2274.83,5.828888888888889,6.761111111111111,0.1131308641975309
Al0.75 Mo1 Nb1 Ti1 V1,BCC,4.684210526315789,0.44684210526315815,19.78947368421052,153.78947368421052,-11.124653739612187,13.332065209759664,1.8731578947368417,58.678947368421056,-0.1294371884377746,0.3174800336807178,2204.232105263158,5.698947368421052,6.720315789473684,0.10835900277008312
Al1 Mo1 Nb1 Ti1 V1,BCC,4.6,0.45199999999999996,18.80000000000001,149.6,-12.800000000000004,13.380866803977112,1.93,57.059999999999995,-0.13241511072110948,0.33425880776337047,2140.694,5.582000000000001,6.6836,0.10395200000000006
